"No","機能区分","要件","実現可否","備考（詳細は docs/仕様書.md を正とする）"
"1","商品管理","Product2 に商品を登録し、見積ウィザードから選択できる","◯","仕様書 §3"
"2","商品管理","商品ごとに継続課金 / 一回課金（BillingType）を分類できる","◯","仕様書 §3"
"3","商品管理","商品ごとに明示的な ARR 対象フラグを持てる","◯","Product2.IncludeInARR__c。仕様書 §8"
"4","商品管理","単位・参考単価・請求形態を商品に持てる","◯","仕様書 §3 / §6.6"
"5","商品管理","値引き商品を登録し、対象商品から値引きできる","△","専用値引きマスタなし。マイナス単価入力で表現。仕様書 §6.5"
"6","商品管理","商品分類別の出精値引きを自動適用できる","?","仕様書 §9.3 / §11"
"7","商品管理","価格表・数量ティアを持てる","?","仕様書 §9.3 / §11"
"8","商品管理","外部課金基盤の商品カタログをSFへ自動反映できる","?","仕様書対象外"
"9","顧客管理","標準 Account を顧客として管理できる","◯","仕様書 §3"
"10","顧客管理","Account 配下に請求先（BillingAccount）を複数持てる","◯","仕様書 §3"
"10a","顧客管理","受注済み請求先の共有マスタ更新時に確認チェックを必須にできる","◯","ConfirmSharedUpdate__c。仕様書 §5.2.2"
"11","顧客管理","請求先ごとに支払条件を設定できる","◯","仕様書 §6.8"
"12","顧客管理","請求日と土日の営業日調整ができる","◯","仕様書 §6.7"
"13","顧客管理","1契約の金額を複数子会社へ分割請求できる","?","仕様書 §9.3 / §11"
"14","顧客管理","SF→外部課金基盤への取引先自動送信ができる","?","仕様書対象外"
"15","顧客管理","取引先・請求先にカスタム項目を追加できる","※","ウィザード表示は EstimateWizardField__mdt。仕様書 §2.1"
"16","見積","商談画面のボタンから見積を新規作成できる","◯","仕様書 §4"
"17","見積","契約種別（新規/期中変更/更新/解約/都度追加）を選択して見積作成できる","◯","仕様書 §4。Spot は Add。Change/Renew/Cancel 不可時は Step1 でエラー"
"18","見積","既存見積を複製できる","◯","仕様書 §4.8。続きコピーは Lifecycle を preset に載せる"
"19","見積","更新商談のチェックを OFF→ON に更新したとき Renew 見積を自動作成できる","◯","作成時にONでも作らない。Spot・継続明細なしでは不可。仕様書 §4.9"
"20","見積","契約開始日・終了日を見積ごとに設定できる","◯","仕様書 §4.4"
"21","見積","日割りで契約期間・金額を設定できる","?","日割不可。仕様書 §4.4 / §11"
"22","見積","無償期間（トライアル）を契約データとして設定できる","?","仕様書 §9.3 / §11"
"23","見積","一回課金に契約開始とは別の開始日・終了日を設定できる","◯","仕様書 §6.4"
"24","見積","初期費用を選択商品に応じて自動算出できる","?","仕様書対象外"
"25","見積","商品ごとにパートナー手数料を自動設定できる","?","仕様書対象外"
"26","見積","請求設定（一括前払/一括後払/月次分割）を選べる","◯","仕様書 §6"
"27","見積","更新・期中変更の見積上でも請求条件を変更できる","◯","仕様書 §4 / §6"
"28","見積","金額未確定の後払い（稼働ベース）を持てる","?","仕様書 §9.3 / §11"
"29","見積","見積入力時にバリデーションアラートを出せる","◯","仕様書 §4"
"30","見積","見積書をPDF出力できる","◯","仕様書 §4.10"
"31","見積","見積書＋申込者情報ページを1PDFで出力できる","△","標準は見積書PDFのみ"
"32","見積","DocuSign / クラウドサインと連携できる","?","仕様書 §11"
"33","見積","見積ウィザードでカスタム項目を表示・入力できる","◯","EstimateWizardField__mdt。Step2＝詳細情報に集約。仕様書 §2.1 / §4.3"
"34","契約管理","見積を受注（Ordered）すると契約として確定できる","◯","仕様書 §5.2"
"35","契約管理","解約見積の受注で契約ステータスを解約済にできる","◯","ContractService.Status__c 数式。Cancel Ordered で Cancelled"
"36","契約管理","契約変遷を1サービス配下の履歴で確認できる","◯","仕様書 §3 / §5"
"37","契約管理","改定番号を自動採番できる","◯","最新Ordered+1。仕様書 §4.5"
"38","契約管理","受注時に古い見積バージョンを自動アーカイブできる","◯","仕様書 §5.2"
"39","契約管理","ARR / DeltaARR を自動計算できる","◯","IncludeInARR__c。仕様書 §8"
"40","契約管理","当該 Version にロック請求がないうちは Ordered→Estimate に戻せる（ロック1件でも不可・Apex）","◯","仕様書 §5.3 / §6.9"
"41","契約管理","期中変更で差分請求を自動生成できる","◯","仕様書 §6.2 / §6.11"
"42","契約管理","確定後の期間をSF画面だけで自由変更できる","△","Change/Renew 経由が正。仕様書 §4 / §5"
